iter	Passed	Remaining
760	10010	3143
761	10036	3134
762	10070	3128
763	10093	3117
764	10108	3105
765	10123	3092
766	10135	3078
767	10150	3066
768	10167	3054
769	10185	3042
770	10203	3030
771	10216	3017
772	10231	3004
773	10246	2991
774	10261	2979
775	10276	2966
776	10290	2953
777	10303	2940
778	10317	2926
779	10329	2913
780	10342	2900
781	10353	2886
782	10362	2871
783	10373	2858
784	10383	2843
785	10393	2829
786	10407	2816
787	10417	2802
788	10426	2788
789	10437	2774
790	10449	2760
791	10459	2746
792	10470	2733
793	10480	2719
794	10490	2705
795	10500	2690
796	10509	2676
797	10520	2663
798	10529	2648
799	10538	2634
800	10548	2620
801	10557	2606
802	10569	2592
803	10579	2578
804	10588	2564
805	10597	2550
806	10606	2536
807	10616	2522
808	10624	2508
809	10634	2494
810	10642	2480
811	10652	2466
812	10660	2451
813	10669	2437
814	10678	2423
815	10686	2409
816	10696	2395
817	10704	2381
818	10714	2367
819	10723	2353
820	10734	2340
821	10744	2326
822	10754	2312
823	10767	2299
824	10783	2287
825	10798	2274
826	10811	2261
827	10823	2248
828	10836	2235
829	10862	2224
830	10876	2211
831	10889	2198
832	10902	2185
833	10916	2172
834	10931	2160
835	10944	2147
836	10956	2133
837	10971	2120
838	10985	2107
839	10998	2094
840	11029	2085
841	11045	2072
842	11062	2060
843	11078	2047
844	11095	2035
845	11113	2022
846	11128	2010
847	11144	1997
848	11157	1984
849	11168	1970
850	11182	1957
851	11195	1944
852	11210	1931
853	11222	1918
854	11235	1905
855	11249	1892
856	11263	1879
857	11276	1866
858	11289	1853
859	11303	1840
860	11313	1826
861	11324	1813
862	11335	1799
863	11347	1786
864	11360	1773
865	11375	1760
866	11399	1748
867	11413	1735
868	11426	1722
869	11441	1709
870	11453	1696
871	11466	1683
872	11480	1670
873	11497	1657
874	11512	1644
875	11524	1631
876	11536	1618
877	11546	1604
878	11557	1590
879	11567	1577
880	11577	1563
881	11592	1550
882	11606	1537
883	11622	1525
884	11634	1511
885	11646	1498
886	11661	1485
887	11676	1472
888	11688	1459
889	11704	1446
890	11717	1433
891	11733	1420
892	11746	1407
893	11757	1394
894	11774	1381
895	11787	1368
896	11800	1355
897	11813	1341
898	11826	1328
899	11839	1315
900	11852	1302
901	11865	1289
902	11880	1276
903	11891	1262
904	11904	1249
905	11917	1236
906	11931	1223
907	11942	1210
908	11954	1196
909	11967	1183
910	11979	1170
911	11996	1157
912	12007	1144
913	12019	1130
914	12032	1117
915	12043	1104
916	12052	1090
917	12062	1077
918	12071	1063
919	12080	1050
920	12090	1037
921	12100	1023
922	12110	1010
923	12118	996
924	12129	983
925	12140	970
926	12150	956
927	12163	943
928	12175	930
929	12186	917
930	12198	904
931	12209	890
932	12219	877
933	12230	864
934	12241	851
935	12252	837
936	12263	824
937	12273	811
938	12283	797
939	12294	784
940	12309	771
941	12320	758
942	12331	745
943	12347	732
944	12358	719
945	12369	706
946	12378	692
947	12389	679
948	12400	666
949	12410	653
950	12421	640
951	12431	626
952	12442	613
953	12453	600
954	12463	587
955	12473	574
956	12483	560
957	12493	547
958	12505	534
959	12516	521
960	12526	508
961	12540	495
962	12553	482
963	12564	469
964	12589	456
965	12601	443
966	12612	430
967	12624	417
968	12636	404
969	12649	391
970	12662	378
971	12674	365
972	12685	352
973	12700	339
974	12711	325
975	12722	312
976	12732	299
977	12742	286
978	12752	273
979	12762	260
980	12773	247
981	12782	234
982	12792	221
983	12800	208
984	12811	195
985	12821	182
986	12831	169
987	12841	155
988	12850	142
989	12862	129
990	12871	116
991	12881	103
992	12891	90
993	12900	77
994	12910	64
995	12920	51
996	12932	38
997	12942	25
998	12952	12
999	12962	0
