iter	RMSE
176	17120.65419
177	17093.83836
178	17068.98379
179	17035.37257
180	17007.47594
181	16973.37295
182	16937.09786
183	16914.68266
184	16901.51532
185	16870.09803
186	16845.88137
187	16815.45758
188	16770.32861
189	16742.02059
190	16702.43148
191	16666.13027
192	16627.49793
193	16581.05325
194	16545.38567
195	16522.34169
196	16484.13384
197	16458.47297
198	16411.21325
199	16367.46987
200	16323.3191
201	16292.55319
202	16255.98234
203	16236.28247
204	16196.43398
205	16166.65146
206	16141.31978
207	16101.06084
208	16082.51659
209	16050.10104
210	16011.07381
211	15998.19102
212	15974.80543
213	15946.87873
214	15928.32055
215	15899.63793
216	15871.66595
217	15848.06619
218	15837.52374
219	15817.46932
220	15800.58494
221	15768.64378
222	15742.18883
223	15729.7501
224	15714.72345
225	15676.51493
226	15646.20645
227	15622.06014
228	15594.60217
229	15570.40243
230	15556.28196
231	15544.80356
232	15511.09468
233	15482.48816
234	15448.66273
235	15440.54832
236	15412.60036
237	15401.75281
238	15368.32308
239	15334.51942
240	15301.268
241	15260.56558
242	15227.69151
243	15196.80205
244	15188.32403
245	15154.56548
246	15131.63099
247	15118.24835
248	15102.17681
249	15068.89477
250	15036.46978
251	15020.15162
252	14979.56944
253	14949.8279
254	14920.34621
255	14913.21836
256	14883.37693
257	14866.22482
258	14830.54464
259	14797.29142
260	14787.35093
261	14767.29794
262	14737.56552
263	14698.73783
264	14666.52687
265	14629.70554
266	14598.99161
267	14569.71478
268	14546.98813
269	14531.09381
270	14489.49533
271	14445.36434
272	14439.08185
273	14401.47182
274	14381.23476
275	14342.64338
276	14296.06646
277	14263.21437
278	14245.28732
279	14232.90205
280	14203.52242
281	14179.49079
282	14146.82691
283	14140.92644
284	14122.10018
285	14113.81007
286	14094.71083
287	14070.47336
288	14037.71338
289	14014.59507
290	13999.29554
291	13964.81844
292	13925.44736
293	13911.55025
294	13888.49453
295	13865.05532
296	13847.83974
297	13823.67651
298	13793.77509
299	13750.70051
300	13734.36407
301	13729.07306
302	13698.46854
303	13680.55897
304	13653.82939
305	13648.5566
306	13620.57461
307	13613.39036
308	13582.25269
309	13575.56906
310	13549.82869
311	13516.32816
312	13483.694
313	13462.21134
314	13439.00191
315	13421.0615
316	13391.31792
317	13356.54554
318	13318.72102
319	13302.51816
320	13298.20276
321	13274.80287
322	13250.3425
323	13217.52028
324	13182.427
325	13176.276
326	13134.8372
327	13105.72585
328	13080.75799
329	13070.70733
330	13044.31171
331	13039.67233
332	13036.22172
333	13030.97182
334	13026.64367
335	12984.23569
336	12967.6513
337	12941.27968
338	12918.22115
339	12894.05366
340	12879.98795
341	12855.63104
342	12838.56101
343	12814.40656
344	12787.30329
345	12765.76582
346	12740.93729
347	12719.59936
348	12694.19333
349	12670.41975
350	12667.09567
351	12663.8573
352	12645.0498
353	12631.88877
354	12614.10751
355	12602.18017
356	12599.02571
357	12582.24871
358	12579.17959
359	12555.67502
360	12547.45782
361	12543.91285
362	12527.41606
363	12508.571
364	12481.13264
365	12478.03849
366	12462.78355
367	12459.75025
368	12431.04687
369	12410.80713
370	12407.46315
371	12395.06307
372	12380.06611
373	12357.72481
374	12332.83355
375	12315.45974
376	12287.62371
377	12284.98811
378	12268.46816
379	12261.32757
380	12249.69687
381	12246.34881
382	12217.92405
383	12191.5268
384	12165.89602
385	12142.75875
386	12123.66862
387	12096.47133
388	12075.03145
389	12053.50553
390	12033.51387
391	12031.03454
392	12013.74578
393	11999.36864
394	11997.14124
395	11963.93743
396	11942.86329
397	11924.81633
398	11915.36549
399	11900.38011
400	11897.78055
401	11895.48502
402	11877.45978
403	11853.42117
404	11834.75334
405	11830.79973
406	11822.75977
407	11804.87008
408	11771.16648
409	11730.12463
410	11714.83698
411	11697.97215
412	11679.29326
413	11667.06317
414	11641.62012
415	11639.14348
416	11636.96834
417	11617.13637
418	11601.09257
419	11573.14044
420	11561.65826
421	11536.87394
422	11506.48628
423	11492.81978
424	11480.50037
425	11446.23788
426	11441.88361
427	11426.44266
428	11410.07473
429	11407.98902
430	11393.0128
431	11390.93686
432	11366.61904
433	11353.49007
434	11336.83416
435	11333.17788
436	11330.9949
437	11328.99623
438	11316.74768
439	11294.1225
440	11283.45126
441	11281.50878
442	11274.31069
443	11245.71802
444	11215.20125
445	11188.37958
446	11153.5095
447	11140.85936
448	11124.73074
449	11101.51646
450	11070.34349
451	11045.56174
452	11043.50843
453	11020.40132
454	10987.30703
455	10970.85006
456	10962.69352
457	10957.75694
458	10938.5326
459	10920.75662
460	10918.77151
461	10900.14132
462	10877.83088
463	10860.81557
464	10850.09601
465	10842.3326
466	10831.14371
467	10820.64388
468	10798.95058
469	10797.32133
470	10776.6458
471	10758.15501
472	10743.53823
473	10724.43467
474	10718.04623
475	10702.5691
476	10687.15439
477	10661.86798
478	10637.77917
479	10619.42532
480	10603.6869
481	10588.9558
482	10567.93541
483	10553.67623
484	10532.87162
485	10518.55594
486	10512.49599
487	10500.3325
488	10486.82033
489	10470.54934
490	10453.97712
491	10426.48994
492	10424.89645
493	10409.31794
494	10395.68625
495	10394.13038
496	10378.11458
497	10353.55111
498	10340.79003
499	10314.47838
500	10290.77974
501	10288.82701
502	10283.10366
503	10259.19967
504	10239.22617
505	10230.57563
506	10210.33826
507	10191.93639
508	10179.35216
509	10159.05091
510	10148.24779
511	10140.35672
512	10119.19978
513	10100.21437
514	10087.66402
515	10086.17174
516	10074.92574
517	10053.77479
518	10037.97649
519	10017.43061
520	10011.84309
521	9994.790612
522	9978.509633
523	9956.025318
524	9931.573751
525	9929.679825
526	9928.226569
527	9920.636328
528	9919.029847
529	9914.088259
530	9896.270774
531	9879.366252
532	9867.7447
533	9853.281261
534	9846.103278
535	9844.709298
536	9838.772474
537	9816.918034
538	9804.495038
539	9796.807767
540	9778.583231
541	9772.579552
542	9771.396543
543	9769.537713
544	9760.775598
545	9749.650329
546	9743.104272
547	9741.779911
548	9726.051102
549	9712.184875
550	9710.725936
551	9697.201757
552	9681.56694
553	9663.811578
554	9655.592818
555	9648.507455
556	9631.836
557	9612.409896
558	9607.864181
559	9590.954561
560	9574.222229
561	9565.250485
562	9557.199892
563	9547.408241
564	9531.868292
565	9526.993862
566	9512.377857
567	9499.857705
568	9484.550064
569	9470.177459
570	9468.629595
571	9450.857095
572	9444.644308
573	9426.418222
574	9411.049031
575	9387.456672
576	9363.30777
577	9354.002215
578	9343.571857
579	9330.448002
580	9325.710719
581	9313.902037
582	9312.332731
583	9306.900109
584	9283.733579
585	9279.57565
586	9278.051784
587	9261.840884
588	9251.294365
589	9234.739583
590	9225.297523
591	9218.983366
592	9205.871971
593	9183.964689
594	9167.866042
595	9159.117294
596	9144.574983
597	9140.257218
598	9132.863973
599	9118.675974
600	9116.972812
601	9101.860754
602	9090.591091
603	9082.10527
604	9080.765052
605	9065.415726
606	9053.569271
607	9039.176544
608	9032.054723
609	9026.956516
610	9011.644347
611	9001.547622
612	8999.268722
613	8986.005984
614	8972.261468
615	8964.862948
616	8960.44169
617	8933.823919
618	8923.137701
619	8906.578888
620	8903.222231
621	8896.530811
622	8885.405964
623	8878.118457
624	8859.011305
625	8850.975176
626	8835.174979
627	8816.817168
628	8812.261419
629	8799.192
630	8786.492308
631	8772.804537
632	8763.264769
633	8751.370309
634	8728.453391
635	8724.075762
636	8713.804784
637	8700.34462
638	8697.598343
639	8693.529157
640	8674.720683
641	8659.915153
642	8650.363806
643	8644.339875
644	8634.922188
645	8621.448757
646	8620.180473
647	8608.69423
648	8596.388402
649	8585.886121
650	8580.129209
651	8578.692242
652	8577.398904
653	8574.452273
654	8566.065884
655	8548.039926
656	8530.959568
657	8518.648792
658	8513.900856
659	8511.779506
660	8495.60906
661	8489.012127
662	8471.583667
663	8459.377385
664	8442.565588
665	8439.147851
666	8418.985108
667	8417.524735
668	8407.31681
669	8392.790528
670	8388.722171
671	8365.329686
672	8352.261113
673	8349.896612
674	8334.745568
675	8326.143092
676	8316.671791
677	8313.272742
678	8309.708148
679	8299.037467
680	8297.882211
681	8289.500478
682	8285.093266
683	8281.044597
684	8267.562784
685	8265.370397
686	8264.267111
687	8259.284401
688	8240.075402
689	8226.63587
690	8214.998112
691	8205.601636
692	8194.704922
693	8190.576866
694	8178.733902
695	8169.492821
696	8161.012817
697	8152.620215
698	8151.047
699	8149.994296
700	8137.850424
701	8125.145945
702	8123.3504
703	8112.006393
704	8102.761033
705	8082.254572
706	8079.94474
707	8065.771835
708	8064.449876
709	8052.035577
710	8037.105271
711	8024.159825
712	8012.123094
713	8000.750978
714	7999.710176
715	7998.808246
716	7982.323283
717	7970.086479
718	7954.797119
719	7947.812712
720	7946.833913
721	7933.586757
722	7932.713168
723	7919.569488
724	7917.972651
725	7908.258528
726	7903.258795
727	7893.152854
728	7882.576919
729	7870.303528
730	7862.236034
731	7847.463916
732	7828.610828
733	7823.986927
734	7810.277711
735	7798.647693
736	7797.442026
737	7779.426931
738	7776.884757
739	7764.024779
740	7753.310391
741	7740.810139
742	7728.1961
743	7727.338258
744	7721.038759
745	7712.510998
746	7705.13513
747	7696.407185
748	7691.77957
749	7690.976353
750	7690.08975
751	7687.572078
752	7676.345912
753	7665.149688
754	7654.917649
755	7644.743547
756	7635.719246
757	7628.865633
758	7620.899668
759	7611.69291
760	7604.233317
761	7597.222828
762	7588.003009
763	7576.603318
764	7570.584959
765	7561.449384
766	7555.825738
767	7555.10305
768	7543.414184
769	7530.669065
770	7518.326383
771	7514.696051
772	7514.015518
773	7506.40883
774	7505.789648
775	7493.585174
776	7482.977266
777	7470.248424
778	7460.451804
779	7449.958123
780	7439.405817
781	7433.218921
782	7425.250064
783	7414.759759
784	7413.765516
785	7401.59115
786	7393.803345
787	7382.304627
788	7373.387575
789	7368.775442
790	7358.231149
791	7348.629633
792	7341.010963
793	7335.179166
794	7329.477386
795	7320.719556
796	7316.964081
797	7309.905517
798	7292.371395
799	7288.112932
800	7278.3938
801	7276.35114
802	7269.049805
803	7259.437022
804	7256.341093
805	7248.00118
806	7243.751071
807	7233.464764
808	7232.337028
809	7222.124915
810	7220.24379
811	7211.284231
812	7202.049023
813	7193.14638
814	7188.505071
815	7178.042701
816	7176.569634
817	7174.927308
818	7162.326817
819	7151.635928
820	7144.100527
821	7131.388548
822	7123.443411
823	7122.536239
824	7118.37796
825	7109.261174
826	7102.43095
827	7095.034805
828	7082.269194
829	7069.205506
830	7059.2425
831	7051.298544
832	7050.613306
833	7048.74944
834	7043.213275
835	7036.724742
836	7026.857585
837	7015.702499
838	7007.908605
839	7002.856962
840	6995.248271
841	6988.355167
842	6974.723536
843	6967.911626
844	6965.350359
845	6957.64481
846	6945.789119
847	6938.675076
848	6937.081587
849	6928.850052
850	6925.36654
851	6924.405127
852	6909.266346
853	6908.567632
854	6899.910118
855	6889.113515
856	6876.266961
857	6872.497536
858	6863.93622
859	6852.741552
860	6852.234296
861	6851.582228
862	6844.707307
863	6835.260294
864	6827.343106
865	6815.668292
866	6812.379107
867	6809.313066
868	6802.049824
869	6793.866352
870	6784.79268
871	6780.02973
872	6779.452287
873	6772.414057
874	6762.767268
875	6752.704173
876	6743.055693
877	6733.811741
878	6728.879308
879	6722.251787
880	6720.336889
881	6719.447815
882	6711.349386
883	6699.815364
884	6694.727507
885	6686.031987
886	6673.598329
887	6662.199726
888	6653.932177
889	6649.613208
890	6640.585684
891	6629.785179
892	6622.459882
893	6615.896246
894	6613.865719
895	6611.32765
896	6608.127498
897	6605.310777
898	6600.407848
899	6590.987617
900	6579.418944
901	6572.584897
902	6562.376131
903	6554.835428
904	6548.143008
905	6539.022743
906	6530.531107
907	6512.698257
908	6506.122548
909	6505.270061
910	6501.049264
911	6497.057763
912	6485.762235
913	6478.533026
914	6471.246959
915	6467.771127
916	6458.849736
917	6451.171069
918	6443.546615
919	6443.028856
920	6437.986463
921	6429.338234
922	6425.084424
923	6416.968039
924	6403.535849
925	6396.799756
926	6387.180953
927	6376.300539
928	6367.235584
929	6357.105239
930	6348.440106
931	6334.664459
932	6326.516078
933	6318.722311
934	6316.373188
935	6309.342973
936	6303.353878
937	6301.628939
938	6293.06345
939	6283.753251
940	6278.163283
941	6268.629224
942	6261.377669
943	6251.719383
944	6244.268837
945	6239.602348
946	6227.390353
947	6226.929566
948	6220.352484
949	6212.921307
950	6208.603766
951	6201.781829
952	6191.901685
953	6190.871895
954	6190.073243
955	6189.645962
956	6178.400846
957	6172.226626
958	6164.612179
959	6156.598703
960	6145.856562
961	6132.24646
962	6125.694903
963	6118.086491
964	6106.891029
965	6101.048548
966	6092.622297
967	6082.788121
968	6073.780849
969	6066.545278
970	6063.387301
971	6052.784401
972	6048.638913
973	6041.318883
974	6033.783447
975	6027.795096
976	6018.587046
977	6012.134715
978	6002.011686
979	5994.296356
980	5987.187074
981	5980.932872
982	5975.462553
983	5965.728997
984	5963.238359
985	5958.706982
986	5956.198109
987	5951.982796
988	5945.02669
989	5937.023222
990	5930.501671
991	5925.048923
992	5918.770774
993	5907.731001
994	5899.342702
995	5888.776185
996	5886.209139
997	5880.925741
998	5878.856708
999	5876.626913
